Sample,Timestamp,CPU_Usage(%),RAM_Usage(%),RAM_Used(MB)
113,2026-06-08 01:30:14,34.7,47.3,1848.69
114,2026-06-08 01:30:15,71.9,47.3,1848.87
115,2026-06-08 01:30:16,75.5,47.3,1850.02
116,2026-06-08 01:30:17,69.2,47.3,1849.98
117,2026-06-08 01:30:18,38.2,47.3,1851.67
118,2026-06-08 01:30:19,65.7,47.4,1852.57
119,2026-06-08 01:30:20,17.0,47.4,1852.57
120,2026-06-08 01:30:21,42.1,47.4,1852.55
121,2026-06-08 01:30:22,80.1,47.4,1853.5
122,2026-06-08 01:30:23,70.8,47.4,1853.68
123,2026-06-08 01:30:24,80.2,47.4,1853.89
124,2026-06-08 01:30:25,47.2,47.4,1853.86
125,2026-06-08 01:30:26,71.1,47.4,1854.02
126,2026-06-08 01:30:27,36.4,47.4,1854.0
127,2026-06-08 01:30:28,15.5,47.4,1854.0
128,2026-06-08 01:30:29,65.8,47.4,1853.96
129,2026-06-08 01:30:30,72.0,47.4,1853.91
130,2026-06-08 01:30:31,68.7,47.4,1854.09
131,2026-06-08 01:30:32,46.0,47.4,1854.06
132,2026-06-08 01:30:33,78.9,47.4,1854.0
133,2026-06-08 01:30:34,19.4,47.4,1853.98
134,2026-06-08 01:30:35,56.3,47.4,1853.95
135,2026-06-08 01:30:36,73.7,47.4,1854.12
136,2026-06-08 01:30:37,71.8,47.4,1854.05
137,2026-06-08 01:30:38,84.7,47.4,1854.0
138,2026-06-08 01:30:39,48.1,47.4,1854.2
139,2026-06-08 01:30:40,75.4,47.4,1854.15
140,2026-06-08 01:30:41,46.9,47.4,1854.11
141,2026-06-08 01:30:42,31.9,47.4,1854.09
142,2026-06-08 01:30:43,70.8,47.5,1856.27
143,2026-06-08 01:30:44,78.4,47.5,1856.21
144,2026-06-08 01:30:45,62.3,47.4,1856.16
145,2026-06-08 01:30:46,76.9,47.5,1856.35
146,2026-06-08 01:30:47,62.9,47.5,1856.29
147,2026-06-08 01:30:48,29.8,47.5,1856.25
148,2026-06-08 01:30:49,36.5,47.5,1859.2
149,2026-06-08 01:30:50,56.8,47.5,1859.38
150,2026-06-08 01:30:51,83.1,47.5,1859.34
151,2026-06-08 01:30:52,66.1,47.5,1859.26
152,2026-06-08 01:30:53,55.5,47.5,1859.23
153,2026-06-08 01:30:54,70.2,47.5,1859.42
